OTU	Pelagic01_2000uM	Pelagic01_1000uM	Pelagic1_500uM	Pelagic1_100uM	Pelagic1_Placa	LEK-01_Placa	LEK-01_100uM	LEK-01_500uM	LEK-02_Placa	LEK-02_100uM	LEK-02_500uM	LEK-02_2000uM	LEK-03_Placa	LEK-03_100uM	LEK-03_500uM	LEK-03_2000uM	PAS-01_Placa	PAS-01_100uM	PAS-01_500uM	PAS-02_Placa	PAS-02_100uM	PAS-02_500uM	PAS-02_2000uM	PAS-03_Placa	PAS-03_100uM	PAS-03_500uM	PAS-03_2000uM	ZUM-01_Placa	ZUM-01_100uM	ZUM-01_500uM	ZUM-01_2000uM	ZUM-02_Placa	ZUM-02_100uM	ZUM-02_500uM	ZUM-02_2000uM	ZUM-03_Placa	ZUM-03_100uM	ZUM-03_500uM	classification
SWARM_3132	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Polyplacophora;Chitonida;Acanthochitonidae;Acanthochitona;Acanthochitona crinita
SWARM_393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Echinodermata;Ophiuroidea;Amphilepidida;Amphiuridae
SWARM_29	0	0	0	0	0	0	0	2	3194	53	0	10	0	0	0	0	3	0	23	160	76	243	7577	639	2444	353	4638	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Chordata;Actinopteri;Blenniiformes;Blenniidae
SWARM_28	0	0	16	0	0	740	32	34	161	55	12	1103	39	40	0	353	2	8	0	13	0	0	156	14	0	0	410	144	35	0	805	8	29	5	420	282	16	49	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Trochida;Phasianellidae;Tricolia;Tricolia pullus
SWARM_1049	85	0	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Littorinimorpha;Triviidae;Trivia;Trivia monacha
SWARM_23	135	2721	460	65	519	111	33	33	78	8	21	28	35	7	49	53	14	353	544	116	240	547	174	176	157	289	159	46	49	204	1	9	19	374	16	8	30	139	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Phyllodocida;Polynoidae;Polynoidae sp. BOLD
SWARM_22	0	0	0	0	0	461	0	0	505	24	13	0	521	0	0	0	2	11	8	17	10	4	0	11	0	0	0	2205	173	55	0	231	287	28	0	468	53	17	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
SWARM_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	2	31	13	8	2	38	19	5	0	306	31	0	12	426	19	4	0	46	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Decapoda;Majidae;Eurynome;Eurynome spinosa
SWARM_492	0	0	0	0	0	0	0	7	0	1	25	18	2	0	6	114	0	0	0	2	0	0	43	0	0	0	23	0	0	0	0	0	0	5	13	1	7	2	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Decapoda
SWARM_1691	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	3	0	0	0	18	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Phyllodocida;Syllidae;Amblyosyllis;Amblyosyllis madeirensis
SWARM_495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	37	0	0	1	4	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Nematoda;Chromadorea
SWARM_10649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Bivalvia
SWARM_499	0	0	0	0	0	8	0	0	0	0	0	2	1	0	0	0	0	5	0	0	0	0	0	0	4	0	18	7	0	1	2	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda
SWARM_716	0	0	0	0	0	2	1	0	0	0	0	0	5	0	0	0	16	23	14	0	0	1	0	29	5	0	3	6	5	2	0	4	0	7	0	6	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa;Leptothecata
SWARM_721	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Littorinimorpha;Rissoidae;Pusillina
SWARM_1996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	3	0	0	1	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Nematoda;Chromadorea
SWARM_278	855	3	0	6	0	0	0	28	0	0	139	33	2	0	48	44	0	0	4	7	0	15	38	0	3	3	13	0	0	0	0	1	0	30	0	0	1	2	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Decapoda
SWARM_359	0	0	0	2	1	0	0	191	95	1	0	0	0	0	0	0	0	27	65	32	14	30	1	2	27	88	187	3	10	0	0	5	3	0	0	0	8	6	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Spionida;Spionidae;Laonice;Laonice cirrata
SWARM_273	0	0	0	0	0	6	9	25	5	147	9	1	12	24	19	6	2	185	39	60	102	98	9	41	103	10	0	4	17	0	0	0	3	0	0	2	13	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Phyllodocida;Syllidae;Myrianida;Myrianida brachycephala
SWARM_272	0	0	28	17	8	0	0	3	0	19	40	1	0	6	34	0	0	3	19	0	0	0	0	3	1	3	3	2	28	52	1	0	15	27	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Chordata;Ascidiacea;Aplousobranchia
SWARM_276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	271	61	58	7	12	41	66	30	10	23	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa;Leptothecata;Clytiidae;Clytia;Clytia linearis
SWARM_274	0	0	0	0	0	4	0	1	0	0	2	32	0	0	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	1	4	0	0	0	1	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca
SWARM_570	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	16	0	0	0	5	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Nemertea;Pilidiophora;Heteronemertea;Lineidae;Micrura
SWARM_2808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	2	0	0	18	8	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca
SWARM_1410	0	0	4	1	1	1	0	5	0	1	0	11	0	0	3	3	0	0	6	4	0	7	42	3	0	1	45	1	0	0	2	0	7	47	0	0	0	12	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Neogastropoda;Nassariidae
SWARM_1536	0	0	0	2	0	0	0	1	1	2	2	2	5	1	2	9	0	1	1	1	0	0	46	0	0	1	25	0	0	0	1	0	3	0	1	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Cerithiidae;Cerithiidae (family);Bittium
SWARM_2144	0	0	0	0	0	0	28	2	0	11	0	0	2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Porifera;Demospongiae;Clionaida;Clionaidae;Cliona
SWARM_3436	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	4	0	0	0	1	1	0	0	4	0	0	0	1	0	0	0	1	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa;Leptothecata
SWARM_1468	0	0	0	0	0	0	17	9	0	0	17	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	1	0	0	8	6	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Amphipoda;Aoridae;Microdeutopus;Microdeutopus sp. SFAM14
SWARM_5045	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Nudibranchia;Trinchesiidae;Trinchesia
SWARM_1462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Arenicolidae;Arenicolidae (family);Arenicola
SWARM_1869	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	0	11	Cellular organisms;Eukaryota;Amorphea;Metazoa;Nemertea;Enopla
SWARM_130473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca
SWARM_7470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta
SWARM_7472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Phyllodocida;Polynoidae;Polynoidae sp. BOLD
SWARM_602	36	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Bivalvia;Ostreida;Ostreidae
SWARM_1907	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Phyllodocida
SWARM_6003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Platyhelminthes;Rhabditophora
SWARM_3645	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	6	2	Cellular organisms;Eukaryota;Amorphea;Metazoa;Porifera;Demospongiae
SWARM_945	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	1	0	0	0	0	0	1	1	0	13	0	0	0	0	0	0	2	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Neogastropoda;Nassariidae;Tritia;Tritia incrassata
SWARM_3720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	1	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Nemertea;Enopla;Monostilifera;Tetrastemmatidae
SWARM_2487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	3	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Spionida;Spionidae;Laonice
SWARM_2486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Botryllus;Botryllus schlosseri
SWARM_826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca
SWARM_948	0	2	0	23	59	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa;Anthoathecata;Pandeidae;Amphinema
SWARM_2481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Porifera;Demospongiae;Dendroceratida;Dictyodendrillidae;Igernella
SWARM_3949	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Neogastropoda;Nassariidae;Tritia;Tritia incrassata
SWARM_45	0	0	0	0	0	373	17	2	8	17	75	7	134	65	17	2	9	28	15	29	0	3	0	27	6	0	1	299	10	24	0	10	5	9	0	256	2	4	Cellular organisms;Eukaryota;Amorphea;Metazoa;Porifera;Homoscleromorpha;Homosclerophorida;Oscarellidae;Oscarella
SWARM_2348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3	1	3	9	11	1	4	5	0	0	0	0	0	2	1	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Echinodermata;Ophiuroidea;Amphilepidida;Amphiuridae
SWARM_3944	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Lepetellida;Haliotidae;Haliotis;Haliotis tuberculata
SWARM_1642	0	0	0	14	3	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa;Anthoathecata;Bougainvilliidae;Lizzia;Lizzia blondina
SWARM_1764	0	0	0	0	0	3	10	0	3	10	0	1	8	8	0	0	0	5	2	1	1	8	0	1	2	0	1	0	0	0	0	0	3	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Phyllodocida;Syllidae;Myrianida;Myrianida hesperidium
SWARM_931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	36	6	14	2	19	1	0	0	0	0	0	0	0	0	22	0	10	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Phyllodocida;Syllidae;Myrianida;Myrianida rubropunctata
SWARM_3893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	0	0	3	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Nudibranchia;Eubranchidae;Amphorina;Amphorina farrani
SWARM_2667	0	0	0	0	0	0	7	18	0	5	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Littorinimorpha;Eulimidae;Vitreolina
SWARM_3543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Temora;Temora stylifera
SWARM_2664	0	0	0	0	0	0	12	1	0	4	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Porifera;Demospongiae;Clionaida
SWARM_3265	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta
SWARM_3261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa;Leptothecata
SWARM_1160	0	0	1	17	0	0	0	1	0	0	0	0	0	0	1	0	0	8	0	0	4	0	0	0	6	0	0	0	3	8	0	0	9	2	0	0	1	3	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Bivalvia;Cardiida;Semelidae;Abra;Abra alba
SWARM_30089	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca
SWARM_720	2	46	14	1	3	1	1	3	3	8	1	15	0	0	0	2	1	18	6	2	3	1	4	2	1	0	9	0	2	1	0	0	4	4	0	0	1	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda
SWARM_723	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	1	0	0	1	9	0	0	0	1	0	0	0	1	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa
SWARM_727	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	2	9	4	3	8	0	0	0	0	4	0	0	0	3	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Eumida;Eumida fenwicki
SWARM_353	0	0	0	0	0	16	16	64	1	0	0	5	0	0	5	0	0	27	7	0	1	1	1	0	0	1	0	0	11	10	0	0	1	0	0	0	1	1	Cellular organisms;Eukaryota;Amorphea;Metazoa;Nemertea;Pilidiophora;Heteronemertea;Lineidae;Micrura;Micrura varicolor
SWARM_354	0	22	34	0	0	24	6	21	22	0	26	206	38	28	11	19	12	141	87	62	51	3	72	41	56	5	145	15	0	0	7	1	2	0	20	8	1	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda
SWARM_686	1	1	19	43	17	67	13	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa;Leptothecata;Clytiidae
SWARM_968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	Cellular organisms;Eukaryota;Amorphea;Metazoa;Echinodermata;Ophiuroidea;Amphilepidida;Amphiuridae
SWARM_683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	0	2	0	0	0	4	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Eumida
SWARM_8757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Porifera;Demospongiae
SWARM_939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	102	8	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Anthozoa;Actiniaria
SWARM_1494	0	0	0	0	0	0	0	0	3	11	0	0	4	2	6	0	0	9	0	0	5	1	0	1	1	1	2	0	0	0	0	0	2	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Phyllodocida;Syllidae;Myrianida;Myrianida edwarsi
SWARM_4928	0	0	0	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Triphoridae
SWARM_1110	19	6	44	62	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa;Leptothecata;Clytiidae
SWARM_65	252	285	1013	1786	2688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa
SWARM_64	0	0	0	0	0	144	15	150	13	18	127	1589	179	1	66	674	0	0	0	0	2	8	0	0	0	17	3	7	43	542	3	4	0	63	11	5	15	21	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca
SWARM_66	1516	1	0	3	2901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Bivalvia;Ostreida;Ostreidae;Ostrea;Ostrea edulis
SWARM_1165	0	0	0	0	0	0	0	4	0	10	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Decapoda;Hippolytidae;Thoralus
SWARM_69	31	154	283	650	5288	0	0	0	0	0	0	0	0	0	0	0	0	26	2	11	33	22	9	21	57	6	4	0	1	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa
SWARM_68	13	0	1433	36	215	0	2	1	0	0	2	0	0	0	0	6	0	18	50	11	1	3	6	1	0	0	0	34	89	334	0	1	315	105	3	6	14	6	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta
SWARM_751	0	0	0	0	0	2	0	3	0	0	5	8	0	0	2	8	0	0	0	0	0	0	0	0	0	1	0	0	0	20	0	0	0	7	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca
SWARM_1791	0	0	14	0	1	0	1	0	0	1	0	0	0	0	0	0	0	4	2	0	3	0	0	1	0	0	0	0	1	0	0	0	9	28	0	1	1	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda
SWARM_1111	0	0	0	10	0	1	12	0	0	23	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta
SWARM_610	0	0	0	2	0	0	0	0	0	9	1	0	0	0	0	0	0	7	1	1	1	1	0	3	9	0	0	0	7	0	0	0	6	1	0	0	1	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Hexanauplia;Calanoida;Paracalanidae;Paracalanus;Paracalanus parvus
SWARM_612	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	16	0	10	41	5	1	0	46	20	0	3	9	0	0	0	0	0	0	1	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Amphipoda;Dexaminidae;Dexamine;Dexamine spiniventris
SWARM_28877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Chordata;Ascidiacea;Phlebobranchia;Ascidiidae;Phallusia
SWARM_83	230	833	1418	443	444	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Amphipoda;Photidae;Gammaropsis
SWARM_6214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Nemertea;Pilidiophora;Heteronemertea;Lineidae;Micrura
SWARM_80	0	0	0	0	0	7	47	4	11	49	0	0	3	33	1	7	4	32	1	6	24	13	1	1	4	3	0	6	173	0	0	0	33	0	0	2	19	1	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Phyllodocida
SWARM_87	17	13	8	9	2	0	0	22	0	1	1	0	0	0	0	0	0	4	34	0	3	13	1	0	8	15	5	22	21	48	17	10	11	14	10	0	3	12	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta
SWARM_5098	0	0	0	0	0	0	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Amphipoda;Caprellidae;Pseudoprotella;Pseudoprotella phasma
SWARM_4440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Spionida;Magelonidae;Magelona
SWARM_437	0	0	0	0	0	0	4	0	0	33	0	0	0	8	9	0	0	4	5	0	15	0	0	0	5	0	0	3	29	0	0	0	85	0	0	0	9	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Phyllodocida;Syllidae;Syllides;Syllides fulvus
SWARM_124	0	0	0	0	0	105	2	58	127	17	202	121	156	73	189	90	0	5	94	3	0	11	7	28	5	46	135	5	0	0	1	3	2	113	0	30	3	15	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Phyllodocida
SWARM_123	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	220	402	37	170	288	26	33	306	212	79	0	0	0	0	0	12	1	0	2	2	1	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Amphipoda
SWARM_122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	0	0	1	3	3	0	22	38	15	0	10	1	0	1	1	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta
SWARM_129	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	1	1	0	23	0	0	101	0	1	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Nemertea;Enopla;Monostilifera;Tetrastemmatidae
