Rank	Taxonpath	Taxon	Pelagic01_2000uM	Pelagic01_1000uM	Pelagic1_500uM	Pelagic1_100uM	Pelagic1_Placa	LEK-01_Placa	LEK-01_100uM	LEK-01_500uM	LEK-02_Placa	LEK-02_100uM	LEK-02_500uM	LEK-02_2000uM	LEK-03_Placa	LEK-03_100uM	LEK-03_500uM	LEK-03_2000uM	PAS-01_Placa	PAS-01_100uM	PAS-01_500uM	PAS-02_Placa	PAS-02_100uM	PAS-02_500uM	PAS-02_2000uM	PAS-03_Placa	PAS-03_100uM	PAS-03_500uM	PAS-03_2000uM	ZUM-01_Placa	ZUM-01_100uM	ZUM-01_500uM	ZUM-01_2000uM	ZUM-02_Placa	ZUM-02_100uM	ZUM-02_500uM	ZUM-02_2000uM	ZUM-03_Placa	ZUM-03_100uM	ZUM-03_500uM
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Bryozoa;Gymnolaemata;Cheilostomatida	Cheilostomatida	None	None	None	1.0	None	2.0	None	None	None	None	3.0	3.0	None	2.0	None	None	None	None	None	None	None	None	None	None	3.5	3.0	5.0	None	None	None	None	None	None	None	None	None	None	None
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Bryozoa;Gymnolaemata;Ctenostomatida	Ctenostomatida	None	None	1.0	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	1.0	2.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Bivalvia;Cardiida	Cardiida	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Bivalvia;Myida	Myida	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None	None	None	None	3.0	None	None	None	None	None	None	3.0	None	1.0	2.0	2.0	None	None	None	None	None	None	None	None
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Bivalvia;Venerida	Venerida	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Bivalvia;Limoida	Limoida	None	None	None	None	None	None	None	None	None	None	None	1.0	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Bivalvia;Mytiloida	Mytiloida	None	None	None	8.125	None	5.5	None	None	5.0	None	None	3.0	5.5	None	6.0	3.5	5.0	None	6.0	None	None	1.0	None	None	1.0	None	6.5	2.0	3.5	None	None	3.5	5.0	None	None	5.5	None	5.0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Bivalvia;Ostreida	Ostreida	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Cephalopoda;Sepiida	Sepiida	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	1.0	1.0	None	None	1.0	None	None	1.0	None
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Cerithiidae	Cerithiidae	None	None	None	1.0	None	None	None	6.0	6.0	5.5	4.0	4.0	None	None	3.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
