Rank	Taxonpath	Taxon	Pelagic01_2000uM	Pelagic01_1000uM	Pelagic1_500uM	Pelagic1_100uM	Pelagic1_Placa	LEK-01_Placa	LEK-01_100uM	LEK-01_500uM	LEK-02_Placa	LEK-02_100uM	LEK-02_500uM	LEK-02_2000uM	LEK-03_Placa	LEK-03_100uM	LEK-03_500uM	LEK-03_2000uM	PAS-01_Placa	PAS-01_100uM	PAS-01_500uM	PAS-02_Placa	PAS-02_100uM	PAS-02_500uM	PAS-02_2000uM	PAS-03_Placa	PAS-03_100uM	PAS-03_500uM	PAS-03_2000uM	ZUM-01_Placa	ZUM-01_100uM	ZUM-01_500uM	ZUM-01_2000uM	ZUM-02_Placa	ZUM-02_100uM	ZUM-02_500uM	ZUM-02_2000uM	ZUM-03_Placa	ZUM-03_100uM	ZUM-03_500uM
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Protodrilidae	Protodrilidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Polychaeta sp. BOLD	Polychaeta sp. BOLD	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Eunicida	Eunicida	0	0	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Phyllodocida	Phyllodocida	5	4	9	6	6	10	19	11	12	22	11	8	11	19	13	10	7	22	20	13	20	20	11	20	22	14	12	9	23	6	4	4	28	12	3	12	20	7
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Chaetopteridae	Chaetopteridae	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	2	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Sabellida	Sabellida	2	0	2	2	3	6	1	1	4	1	1	1	4	0	0	0	5	4	3	6	4	3	3	5	1	1	4	6	1	3	0	4	3	1	0	5	3	1
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Spionida	Spionida	1	1	1	3	2	0	1	2	2	2	1	1	0	1	1	0	1	2	2	3	3	3	2	2	2	2	2	2	2	2	0	1	3	4	0	0	1	2
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Terebellida	Terebellida	1	2	2	2	3	1	0	0	0	2	2	1	1	0	2	1	0	1	1	1	2	2	1	1	2	1	0	1	1	0	0	0	2	2	1	0	1	2
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Arenicolidae	Arenicolidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	1	1	2	2	2	1	1	0	2	0	0	0	2	0	0	2	1	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Capitellidae	Capitellidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
