Rank	Taxonpath	Taxon	Pelagic01_2000uM	Pelagic01_1000uM	Pelagic1_500uM	Pelagic1_100uM	Pelagic1_Placa	LEK-01_Placa	LEK-01_100uM	LEK-01_500uM	LEK-02_Placa	LEK-02_100uM	LEK-02_500uM	LEK-02_2000uM	LEK-03_Placa	LEK-03_100uM	LEK-03_500uM	LEK-03_2000uM	PAS-01_Placa	PAS-01_100uM	PAS-01_500uM	PAS-02_Placa	PAS-02_100uM	PAS-02_500uM	PAS-02_2000uM	PAS-03_Placa	PAS-03_100uM	PAS-03_500uM	PAS-03_2000uM	ZUM-01_Placa	ZUM-01_100uM	ZUM-01_500uM	ZUM-01_2000uM	ZUM-02_Placa	ZUM-02_100uM	ZUM-02_500uM	ZUM-02_2000uM	ZUM-03_Placa	ZUM-03_100uM	ZUM-03_500uM
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Hexanauplia;Calanoida;Scolecitrichidae;Scolecithricella	Scolecithricella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Temora	Temora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	42	1	0	0	0	0	0	0	0	0	0	0	0	0	0
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Hexanauplia;Cyclopoida;Oithonidae;Oithona	Oithona	0	0	1	6	0	0	0	0	0	0	0	1	0	3	0	0	2	2	1	4	0	0	0	2	2	0	0	0	10	2	0	0	4	0	0	0	4	0
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Hexanauplia;Harpacticoida;Cletodidae;Cletodes	Cletodes	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	118	0	0	0	123	0	0	0	53	0
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Hexanauplia;Harpacticoida;Miraciidae;Amphiascopsis	Amphiascopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	10	0	0	0	5	0	0	0	0	1
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Hexanauplia;Harpacticoida;Harpacticoida sp. 09PROBE;Harpacticoida sp. 09PROBE (genus)	Harpacticoida sp. 09PROBE (genus)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Decapoda;Galatheidae;Galathea	Galathea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	11	13	10	0	0	1	0	0	0	7	0	0	0	17	0	4	0	1
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Decapoda;Porcellanidae;Pisidia	Pisidia	587	156	130	237	44	112	7	520	53	17	163	46	96	4	140	17	18	130	49	90	148	49	93	109	143	27	186	5	0	51	0	4	35	252	0	14	4	15
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Decapoda;Porcellanidae;Porcellana	Porcellana	0	0	0	0	0	17	0	77	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Decapoda;Paguridae;Anapagurus	Anapagurus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	14	7	0	0	0
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Decapoda;Paguridae;Pagurus	Pagurus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Decapoda;Goneplacidae;Goneplax	Goneplax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	1	17	0	0	0	0	0
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Decapoda;Inachidae;Macropodia	Macropodia	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Decapoda;Majidae;Eurynome	Eurynome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	64	1	2	74	18	11	2	56	32	8	2	576	38	0	12	752	22	9	0	66
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Decapoda;Pilumnidae;Pilumnus	Pilumnus	26562	33	67	239	29	20	12	883	45	45	1350	363	146	22	776	871	2	0	14	52	74	57	908	38	56	9	167	0	0	0	0	12	0	172	23	0	3	52
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Decapoda;Polybiidae;Necora	Necora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	2	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Decapoda;Alpheidae;Athanas	Athanas	0	0	0	0	0	0	0	29	0	0	149	19	3	0	9	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	24	0	0	0	0
